,股票名称,股票代码,涨跌幅,换手率,市盈率(动态),流通市值(万)
0,龙宇股份,603003.SH,-4.46,2.8,101.79,371052.9
1,中国外运,601598.SH,1.79,0.83,8.16,2391442.18
2,万东医疗,600055.SH,-0.2,1.0,125.27,1324999.69
3,日月明,300906.SZ,1.38,1.47,43.98,75870.01
4,维宏股份,300508.SZ,-3.28,3.61,56.64,148759.13
5,东方通信,600776.SH,-1.7,1.13,154.27,1049688.07
6,天富能源,600509.SH,0.86,3.19,-9.49,811747.59
7,浙江东方,600120.SH,1.51,0.71,14.57,1379814.12
8,海信家电,000921.SZ,10.01,0.83,21.4,2034081.15
9,豪迈科技,002595.SZ,2.12,1.04,19.88,1590552.66
10,汉得信息,300170.SZ,-2.13,6.08,18.41,1034970.4
11,电光科技,002730.SZ,1.35,4.31,35.44,310734.83
12,中国铝业,601600.SH,4.25,1.53,27.14,8671182.73
13,依米康,300249.SZ,-4.76,10.26,-166.01,449474.75
14,佐力药业,300181.SZ,-0.6,2.22,37.73,908676.9
15,飞利信,300287.SZ,-7.61,9.75,-55.13,530398.93
16,中粮糖业,600737.SH,1.82,1.57,17.72,1790215.97
17,东土科技,300353.SZ,-1.93,4.04,-91.98,579822.36
18,杭齿前进,601177.SH,-0.1,0.92,18.57,388858.32
19,太和水,605081.SH,-0.16,3.41,102.02,164583.48
20,山东钢铁,600022.SH,1.26,0.56,31.03,1722514.78
21,瑞丰光电,300241.SZ,-1.57,1.49,101.05,321704.82
22,上港集团,600018.SH,1.25,0.12,7.64,13093126.18
